店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,行政區,營業時間,有無限時,插座多,可站立工作,推薦人,備註,地址,網站,
Sweet Cafe,0,3.0 ★,5.0 ★,5.0 ★,3.0 ★,3.0 ★,南區,,無,普普,yes,Ming,咖啡烘焙冠軍的店，下午3點才會開喔,台中市南區國光路156之8號,https://www.facebook.com/pages/Sweet-Cafe/143040699093705,
虎姑婆烘焙坊,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,4.0 ★,南區,星期二至星期六 11:00~21:00(星期日、一公休),無,夠用,無,Anna,,台中市南區國光路387-6號,https://www.facebook.com/虎姑婆烘培坊-Lady-Tiger每周日周一店休-106465272881585/,
CoffeeEAH,5.0 ★,4.5 ★,4.0 ★,4.5 ★,4.5 ★,4.5 ★,南屯區,"星期一至星期六 12:00～20:00 (星期日公休）
",無,普普,高腳座位可,Ming,,台中市南屯區大墩七街493號,https://www.facebook.com/coffeeeah,
Cafe Muah,5.0 ★,5.0 ★,2.5 ★,3.0 ★,4.0 ★,4.0 ★,南屯區,週一~週日: 09:00 - 20:00,客滿時,yes,yes,Dozz,音樂偏大聲，但顧客聲音還好,台中市南屯區大墩十七街35號,https://www.facebook.com/muahxmuah/,
edia cafe,5.0 ★,4.5 ★,4.0 ★,2.5 ★,2.5 ★,4.5 ★,南屯區,,無,,no,Ming,,台中市南屯區大進街691號,https://www.facebook.com/ediacafe,
傑米 Jme Brunch Box,4.0 ★,4.0 ★,3.0 ★,3.0 ★,5.0 ★,5.0 ★,西區,週一至週日 08:00-17:00,無,普普（靠牆才有）,有,Tank,餐點份量大可以吃超撐（才有力氣工作）。沒有限制時間所以可以坐到打烊。有插座但都在靠牆的座位，要提前跟服務生告知。假日中午很多人往往會排隊些許時間，建議提早去排隊。,台中市西區華美街380號,,
台灣惠蓀咖啡,5.0 ★,5.0 ★,4.0 ★,4.5 ★,4.0 ★,4.5 ★,西區,週一至週五8:00~19:30 週六、日9:00~20:30 ,無,,no,,,台中市西區華美街494號,https://www.facebook.com/huisuncoffee,
老莊園咖啡,5.0 ★,4.5 ★,2.5 ★,2.5 ★,5.0 ★,2.5 ★,西區,週一~週日: 08:00 - 20:00,無,yes,無,Ming,,台中市西區華美西街一段74號,https://www.facebook.com/RomanorCaffe/,
The Factory- Mojocoffee,4.0 ★,4.0 ★,4.0 ★,4.5 ★,3.0 ★,4.5 ★,西區,9:00 - 18:00,無,普普,yes,,,台中市西區精誠六街22號,https://www.facebook.com/The-Factory-Mojocoffee-272695802751148/,
Forro Cafe,4.5 ★,4.5 ★,4.5 ★,4.5 ★,4.0 ★,4.5 ★,西區,9:00 - 18:00,無,Yes,Yes,,"早上就開了, 適合早起工作的人:)",台中市西區精誠三街47號,http://www.forro.com.tw/,
Coffee Stopover,4.0 ★,3.0 ★,4.0 ★,5.0 ★,4.0 ★,4.0 ★,西區,"星期一至星期六 11:00～20:00 (星期日公休）
",無,no,no,,僅二樓有座位，只有四個插座，有大桌，但座椅較矮且難坐～,台中市西區民權路217巷24號,https://www.facebook.com/coffeestopover/,
Coffee Stopover,5.0 ★,4.5 ★,4.0 ★,4.5 ★,2.5 ★,4.5 ★,西區,"星期一至星期六 11:00～20:00 (星期日公休）
",無,無,no,Ming,,台中市西區民權路217巷24號,https://www.facebook.com/coffeestopover/,
老陳咖啡L'espace caf'e,,,,,,,西區,,,,,,,台中市西區五權七街52號,,
1987廚房工作室,4.0 ★,4.5 ★,4.5 ★,4.5 ★,5.0 ★,4.5 ★,西區,"13:00 - 20:00 
每週二公休",無,普普,Yes,,台中忠信市場內老宅改建，甜點也超好吃,台中市西區五權西路一段57巷1弄5號,https://www.facebook.com/1987jam,
手樂咖啡,5.0 ★,5.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,西屯區,08:30–22:30,無,yes,no,,,台中市西屯區福林路80號,,
卡啡那 CAFFAINA 惠來店,4.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,西屯區,9:00 - 24:00,無,Yes,Yes,,,台中市西屯區惠中路二段45號,http://www.caffaina.com/,
茶卡Tea & Toys,5.0 ★,5.0 ★,5.0 ★,4.5 ★,4.5 ★,5.0 ★,西屯區,"週二~週日: 13:00 - 19:00
週一公休",無,yes,Yes,Joy,英式鄉村小店，位置不多，老闆親切。每桌都有插座(去之前可先參考臉書),台中市西屯區台灣大道三段306巷39弄3號,,https://www.facebook.com/ZakkaTea/
冰河咖啡,,4.5 ★,5.0 ★,5.0 ★,4.5 ★,4.0 ★,4.5 ★,西屯區,9am-6pm,無,yes,no,,,台中市西屯區文心路三段119-1號,https://www.facebook.com/GlacierCoffeeRoasters/
Colorful Coffee 卡勒芙手感咖啡,5.0 ★,5.0 ★,4.5 ★,5.0 ★,4.5 ★,5.0 ★,西屯區,14:00-22:00週四休息 週日 12:00~18:00 ,平日無 假日有,yes,no,,,台中市西屯區西屯路二段284-6號,https://www.facebook.com/Colorfulcafe2/,
Fleet Street,,4.5 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,中區,08:00~18:00（週二休）,無,,Yes,,,台中市中區民族路24號,www.facebook.com/fleetstreet24,
順咖啡,,,4.5 ★,5.0 ★,3.5 ★,5.0 ★,中區,12:00-21:00(週二休),無,,no,,個性店，位置不多，老闆親切。愛心插座(使用需捐款，全額給瑪麗亞社會福利基金會),台中市中區市府路107巷1-2號,https://www.facebook.com/sooncoffee/,
Rice Caff'e 米咖啡,,,,,,,西屯區,,,,,,,,,
5春咖啡,,,4.5 ★,5.0 ★,,,西區,,,,,,位置不多，安靜看客人，大多不錯,,,
Deer Caf'e,,,,,,,,北區,,,,,,,,
Next Door 隔壁咖啡,,5.0 ★,4.5 ★,4.0 ★,4.0 ★,4.0 ★,4.5 ★,西區,8:00-21:00,無,僅高腳座位有,高腳座位可,,,,
默契咖啡        ,4.5 ★,4.0 ★,3.5 ★,4.0 ★,4.5 ★,5.0 ★,西屯區,10:00-23:00,無,Yes,no,,,,,
Art a New,,4.5 ★,5.0 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,西區,14:00-01:00,無,yes,yes,,,,
想想人文空間,,4.0 ★,4.0 ★,,,5.0 ★,中區,禮拜三、四，上午11:30到晚上7:30（下午3:00到4:00午休）；禮拜五，上午11:30到晚上7:30（下午3:00到4:00午休） ；禮拜六，上午11:30到晚上8:00；禮拜日，上午11:30到晚上7:00；禮拜一和二，公休。,無,yes,,,,,,
Retro Mojo Coffee,5.0 ★,3.0 ★,4.0 ★,4.0 ★,4.5 ★,5.0 ★,西區,"週六: 9:00am-10:00pm
週日-週五:  8:00am-10:00pm",無,yes,no,,一樓較喧嘩，二樓是讀書空間；有大桌～,,,
SolidBean Coffee,5.0 ★,5.0 ★,4.0 ★,5.0 ★,4.0 ★,5.0 ★,西區,08:30–18:30,無,yes,no,,沒空間區隔，所以可能碰到喧嘩的客人；有大桌～,,,
元生咖啡,,,,,,,西區,週一~週日: 08:00 - 18:00,無,普普,無,,,,,
