店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,行政區,地址,有無限時,插座多,可站立工作,推薦人,備註,網站
edia cafe,5.0 ★,4.5 ★,4.0 ★,2.5 ★,2.5 ★,4.5 ★,,南屯區,台中市南屯區大進街691號,無,,no,Ming,,https://www.facebook.com/ediacafe
盧仕 Luscoffee,,4.0 ★,5.0 ★,5.0 ★,4.5 ★,5.0 ★,09:30-18:00 (週二三公休）,南屯區,台中市南屯區五權西路二段957號2F,無,無,無,Lucas,除中午用餐時間外，適合紙筆靜態工作者，因無插座，故較不適合做電腦相關,
傑米 Jme Brunch Box,4.0 ★,4.0 ★,3.0 ★,3.0 ★,5.0 ★,5.0 ★,08:00-17:00,西區,台中市西區華美街380號,無,普普（靠牆才有）,有,Tank,餐點份量大可以吃超撐（才有力氣工作）。沒有限制時間所以可以坐到打烊。有插座但都在靠牆的座位，要提前跟服務生告知。假日中午很多人往往會排隊些許時間，建議提早去排隊。,
Next Door 隔壁咖啡,5.0 ★,4.5 ★,4.0 ★,4.0 ★,4.0 ★,4.5 ★,08:00-21:00                     周二08:00 - 18:00,西區,台中市西區華美街422號,無,僅高腳座位有,高腳座位可,,,https://www.facebook.com/NDcafe.tc/
台灣惠蓀咖啡,5.0 ★,5.0 ★,4.0 ★,4.5 ★,4.5 ★,4.5 ★,週一-五08:00~19:30        週六日09:00~20:30 ,西區,台中市西區華美街494號,無,yes,no,,,https://www.facebook.com/huisuncoffee
老莊園咖啡,5.0 ★,4.5 ★,2.5 ★,2.5 ★,5.0 ★,2.5 ★,08:00 - 20:00,西區,台中市西區華美西街一段74號,無,yes,無,Ming,,https://www.facebook.com/RomanorCaffe/
The Factory- Mojocoffee,4.0 ★,4.0 ★,4.0 ★,4.5 ★,3.0 ★,4.5 ★,09:00 - 18:00,西區,台中市西區精誠六街22號,無,普普,yes,,,https://www.facebook.com/The-Factory-Mojocoffee-272695802751148/
Forro Cafe,4.5 ★,4.5 ★,4.5 ★,4.5 ★,4.0 ★,4.5 ★,09:00 - 18:00,西區,台中市西區精誠三街47號,無,Yes,Yes,,"早上就開了, 適合早起工作的人:)",http://www.forro.com.tw/
Art a New,4.5 ★,5.0 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,14:00-01:00,西區,台中市西區精誠五街32號,無,yes,yes,,,https://www.facebook.com/aNew.Art/?fref=ts
Coffee Stopover,4.0 ★,3.0 ★,4.0 ★,5.0 ★,4.0 ★,4.0 ★,11:00～20:00               星期日公休,西區,台中市西區民權路217巷24號,無,no,no,,僅二樓有座位，只有四個插座，有大桌，但座椅較矮且難坐～,https://www.facebook.com/coffeestopover/
Coffee Stopover,5.0 ★,4.5 ★,4.0 ★,4.5 ★,2.5 ★,4.5 ★,11:00～20:00               星期日公休,西區,台中市西區民權路217巷24號,無,無,no,Ming,,https://www.facebook.com/coffeestopover/
老陳咖啡L'espace caf'e,,,,,,,,西區,台中市西區五權七街52號,,,,,,
Retro Mojo Coffee,5.0 ★,3.0 ★,4.0 ★,4.0 ★,4.5 ★,5.0 ★,08:00-22:00                           週六: 09:00-22:00,西區,台中市西區五權西路一段116號,無,yes,no,,一樓較喧嘩，二樓是讀書空間；有大桌～,https://www.facebook.com/RetroMojocoffee/
1987廚房工作室,4.0 ★,4.5 ★,4.5 ★,4.5 ★,5.0 ★,4.5 ★,"13:00 - 20:00
每週二公休",西區,台中市西區五權西路一段57巷1弄5號,無,普普,Yes,,台中忠信市場內老宅改建，甜點也超好吃,https://www.facebook.com/1987jam
手樂咖啡,5.0 ★,5.0 ★,4.0 ★,4.0 ★,3.5 ★,4.0 ★,08:30–22:30,西屯區,台中市西屯區福林路80號,無,yes,no,,,
卡啡那 CAFFAINA 惠來店,4.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,09:00 - 24:00,西屯區,台中市西屯區惠中路二段45號,無,Yes,Yes,,,http://www.caffaina.com/
默契咖啡,4.5 ★,4.0 ★,3.5 ★,4.0 ★,4.5 ★,5.0 ★,10:00-23:00,西屯區,台中市西屯區台灣大道二段902號,無,Yes,no,,,https://www.facebook.com/matchcafe/
茶卡Tea & Toys,5.0 ★,5.0 ★,5.0 ★,4.5 ★,4.5 ★,5.0 ★,"13:00 - 19:00
週一公休",西屯區,台中市西屯區台灣大道三段306巷39弄3號,無,yes,Yes,Joy,英式鄉村小店，位置不多，老闆親切。每桌都有插座(去之前可先參考臉書),https://www.facebook.com/ZakkaTea/
冰河咖啡,4.5 ★,5.0 ★,5.0 ★,4.5 ★,4.0 ★,4.5 ★,0900-1800,西屯區,台中市西屯區文心路三段119-1號,無,yes,no,,,https://www.facebook.com/GlacierCoffeeRoasters/
Colorful Coffee 卡勒芙手感咖啡,5.0 ★,5.0 ★,4.5 ★,5.0 ★,4.5 ★,5.0 ★,14:00-22:00                   週日 12:00~18:00               週四休息 ,西屯區,台中市西屯區西屯路二段284-6號,平日無 假日有,yes,no,,,https://www.facebook.com/Colorfulcafe2/
Fleet Street,,4.5 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,08:00~18:00（週二休）,中區,台中市中區民族路24號,無,,Yes,,,www.facebook.com/fleetstreet24
順咖啡,,,4.5 ★,5.0 ★,3.5 ★,5.0 ★,12:00-21:00 (週二休),中區,台中市中區市府路107巷1-2號,無,,no,,個性店，位置不多，老闆親切。愛心插座(使用需捐款，全額給瑪麗亞社會福利基金會),https://www.facebook.com/sooncoffee/
Rice Caff'e 米咖啡,,,,,,,,西屯區,,,,,,,
5春咖啡,,,4.5 ★,5.0 ★,,,,西區,,,,,,位置不多，安靜看客人，大多不錯,
Deer Caf'e,,,,,,,,北區,,,,,,,
想想人文空間,,4.0 ★,4.0 ★,,,5.0 ★,週三~五11:30~19:30 (15:00到16:00午休)        週六11:30~20:00              週日11:30~19:00              週一二公休,中區,,無,yes,,,,
SolidBean Coffee,5.0 ★,5.0 ★,4.0 ★,5.0 ★,4.0 ★,5.0 ★,08:30–18:30,西區,,無,yes,no,,沒空間區隔，所以可能碰到喧嘩的客人；有大桌～,
元生咖啡,,,,,,,08:00 - 18:00,西區,,無,普普,無,,,
