店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,捷運站,有無限時,插座多,可站立工作,推薦人,備註,地址,網站,
Mazzii Coffee,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,13:00-21:00(每週一公休),,NO,尚可,NO,Jino,,高雄市鹽埕區大勇路80號二樓,https://www.facebook.com/MazziiCoffee,
阿貴私塾,,,,,,,,鹽埕,,,,YanAnn,近駁二,高雄市鹽埕區新樂街39號,https://www.facebook.com/pages/%E9%98%BF%E8%B2%B4%E7%A7%81%E5%A1%BE/111915355552548,
卡啡那 CAFFAINA 明誠店,5.0 ★,3.0 ★,3.0 ★,5.0 ★,4.0 ★,5.0 ★,09:00-24:00,,NO,多,,Jino,,高雄市左營區明誠二路243號,http://www.caffaina.com/,
Uns Coffee（昂司咖啡）高雄明誠店,4.0 ★,        4.0 ★,        2.5 ★,        3.0 ★,5.0 ★,        4.0 ★,08:00-22:00,,NO,偏少,NO,Ducky,非常平價，去的年齡層也廣。,高雄市左營區明誠二路539號,https://www.facebook.com/unscoffee/,
Angoli Brunch早午餐,,,,,,,,巨蛋站,,,,YanAnn,不確定能不能算是咖啡店，位子很少，強烈建議預約定位，提供女性向精緻輕食。,高雄市左營區新莊一路242號(武廟路地址為舊地址，該店已搬離),https://www.facebook.com/angoli.tw/,
The Original One -T O O,4.0 ★,        5.0 ★,        4.0 ★ ,       3.5 ★ ,5.0 ★,        ˋ.0 ★,09:00-19:00,,NO,,NO,Kyotsubasa,假日12點前較不建議去 因為早午餐cp值高人會非常多也很吵，但下午時段沒甚麼人,高雄市前鎮區瑞隆路138號,https://www.facebook.com/TOO138/?ref=page_internal,
Gavagai Café(各比伊咖啡),5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,4.0 ★,12:00~24:00,NO,NO,,NO,Winnie,,高雄市三民區敦煌路80巷11號,https://zh-tw.facebook.com/GavagaiCafe/,
三餘書店,-,,,,,,,文化中心,,,,YanAnn,近大統百貨、Cafe strada，1F為獨立書店,高雄市新興區中正二路214號,https://www.facebook.com/pg/takaobooks214/about/?ref=page_internal,
馤 咖啡。食作,請去過的人評分,        5.0 ★,        5.0 ★,        5.0 ★,        4.0 ★,        5.0 ★,"10:00 - 20:00
",左營站,NO,,NO,Winnie,,高雄市左營區文府路159巷18號,https://www.facebook.com/hay.cafeteria/,
Reel_木軸咖啡館,,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,09:30-20:00，週三公休,N/A,NO,尚可,NO,Pseric,,高雄市三民區天民路11號,https://www.facebook.com/Reelcoffeespace/
鐵塔咖啡 Tower Cafe        ,5.0 ★,4.0 ★,        5.0 ★,        5.0 ★,        3.5 ★,        5.0 ★,"平日: 6:30am-2:30pm
假日: 8am-4pm",,NO,,,,,,,
PiNNCafe 品．咖啡,,請去過的人評分,,,,,,,,,,,,,,
大城小事,4.0 ★,        5.0 ★,        5.0 ★,4.0 ★,       3.5 ★ ,       3.5 ★ ,,,,,,,,,,
Louisa Coffee 路易．莎咖啡(高雄裕誠店),,,,,,,,,,,,,,,,
啡嚐挑剔 Choosy gourmet,5.0 ★,5.0 ★,        3.0 ★ ,        5.0 ★,5.0 ★,        4.0 ★ ,"週一至週六 09:00-23:00
周日 09:00-18:00",,NO,多,NO,Gina,,高雄市仁武區後港巷151之10號,https://www.facebook.com/choosy.gourmet/,
喝所在咖啡,,5.0 ★,5.0 ★,        4.5 ★,        4.0 ★,        5.0 ★,11:00AM - 7:00PM,鹽埕埔,,有,無,Lora,淺焙建議搭起司蛋糕很搭,高雄市鹽埕區安石街8號,https://www.facebook.com/hstcoffee/,
灰咖啡,,,,,        4.0 ★,        5.0 ★,,,NO,有,,,,,,
廿十二味,4.0 ★,4.0 ★,5.0 ★,4.5 ★,4.0 ★,4.5 ★,12:00-0:00,中央公園/輕軌C10站（未通車）,,,NO,Claudius,甜點好吃，啤酒種類多但燈光偏暗,苓雅區海邊路64巷1號,https://www.facebook.com/TwentyTwelveTaste/,
Lab Library,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,10:00-22:00,三多商圈/輕軌C8,NO,無,NO,Claudius,圖書館的書可任意拿入，假日人多,前鎮區新光路61號3樓,https://www.facebook.com/Lablibrarycafe/?fref=ts,
Artisan Cafe,4.0 ★,4.5 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,12:00-20:00,中央公園,NO,少,NO,Claudius,手沖品質佳且穩定,前金區仁義街223號,https://www.facebook.com/pg/artisantw/about/?tab=page_info,
Buff Cafe,4.0 ★,4.5 ★,5.0 ★,5.0 ★,4.5 ★,4.5 ★,12:30-22:30,巨蛋（稍遠）,NO,,NO,Claudius,手沖佳，咖啡新概念多,鼓山區慶豐街8號,https://www.facebook.com/pg/BuffCafe/about/?tab=page_info,
Café De Lecture,4.5 ★,5.0 ★,5.0 ★,3.5 ★,4.0 ★,4.5 ★,10:00-22:00,獅甲/輕軌C7,NO,,NO,Claudius,空間大座位多，附設於MLD Reading內,前鎮區忠勤路8號,https://www.facebook.com/mldreading/?fref=ts,
高雄 TaMa 咖啡館,5.0 ★,4.0 ★,5.0 ★,        5.0 ★,        4.0 ★,        5.0 ★,"10:00-12:00,週二公休",,NO,有,有,Sam Lai,空間很舒適，平常很安靜,高雄市苓雅區永康街73號,https://www.facebook.com/TaMa.Cafe/?fref=ts,
The Plus樂加廚房,5.0 ★,4.0 ★,       3.5 ★ ,        4.0 ★,        4.0 ★,        5.0 ★,6:30 - 21:00,信義國小站 ,NO,有,NO,DoPee,採光極佳，空間舒適，插座需要額外付費(一次不限時20元),高雄市新興區錦田路11號,https://www.facebook.com/theplusfans/?ref=page_internal,
NOW & THEN by nybc 駁二店,4.0 ★,4.0 ★,3.0 ★,        4.0 ★,        3.0 ★,        5.0 ★,"平日:10:00-21:00
假日:10:00-22:00",西子灣/鹽埕埔,NO,多,NO,Jouan,平日適合，假日人多,高雄市鹽埕區大義街2號駁二藝術特區大義倉庫C9-19,https://www.facebook.com/nowandthenbynybc/,
